"","data.met2","data.ad1","data.met1","data.juv1","data.ad2","data.egg2","data.juv2","data.egg1"
"rnd-1_family-129#LTR/Pao",149.624992973907,38.9416899083642,157.3421197664,41.2691875329984,17.8927680965013,31.0157935400954,34.1937533429446,28.4871365668039
"rnd-1_family-12#LTR/Pao",273.661899108876,322.262180389396,389.104793155724,405.230468525486,422.985188963167,805.052866741372,397.782642924287,417.958385174986
"rnd-1_family-130#LINE/RTE-BovB",199.98091110421,244.265901926623,212.957545016689,797.358254293618,98.3515695804517,288.238633010371,796.930256223215,210.392304191642
"rnd-1_family-131#Unknown",495.776941924112,92.873498617171,399.437086580529,149.547276216116,306.715520992203,26.528172827108,156.946306206038,112.436092202648
"rnd-1_family-132#LTR/Gypsy",89.4488480627677,733.242920170505,106.836673224413,875.825207264,1335.24728528437,676.508400568154,859.63383579995,367.985839060022
"rnd-1_family-133#LINE/RTE-BovB",274.854223588776,123.22059265604,266.419260024711,245.272138091079,158.194329615413,200.434499893617,220.817797230659,94.6477206758837
"rnd-1_family-134#Unknown",399.245023669666,224.893574443315,460.191981975084,327.229166693918,144.461470590878,278.626640625461,298.51506657018,243.187817038876
"rnd-1_family-135#LINE/RTE-BovB",823.159262568345,954.862151549521,1013.51328188983,1273.55614314847,860.533915702866,1462.6100024642,1263.01395814082,1029.89058972138
"rnd-1_family-136#Unknown",2796.15709070812,0,4101.32172046131,2493.72395706382,0,1115.91851322854,2443.51957761253,10086.3555052764
"rnd-1_family-137#Unknown",1045.93279077381,779.299357054684,979.296193891646,984.361835606105,744.224706072136,661.810628300104,893.476851917368,773.861327935861
"rnd-1_family-138#Unknown",174.490094966148,119.617608384713,182.998865756625,140.576065626903,207.124961187787,214.477555761079,106.126308049211,186.708060552155
"rnd-1_family-139#LINE/RTE-BovB",1331.06441079693,1991.74156221475,1859.62004102727,3436.65246349218,1616.34635064197,2750.52196401172,3181.4823878727,1611.85641141013
"rnd-1_family-13#DNA/CMC-EnSpm",2274.00033030007,951.404002383189,1342.1257755723,3015.20949511572,1154.18976641199,1822.47433533761,2934.35201717584,744.38331009241
"rnd-1_family-140#Unknown",4249.01795620845,6555.82930022747,2885.08432104438,2009.32074930527,5017.63120199609,4626.95301924635,2024.57567200116,3360.52142995376
"rnd-1_family-141#Unknown",0,0,0,0,0,0,0,0
"rnd-1_family-142#Unknown",0,8.10224429474406,2.79834236596793,2.3586937499316,0,8.96390869680871,14.410421259978,0
"rnd-1_family-143#LTR/Gypsy",989.414024430056,536.962820306907,1163.72585813868,791.00474529001,557.730568420521,707.129986191164,794.089548560003,727.755703092686
"rnd-1_family-144#LINE/Penelope",100.703476507491,114.248344955306,111.4552852153,98.2138545182563,147.464272907876,185.636481419572,93.5317220931112,338.988608792449
"rnd-1_family-145#Unknown",0,1.72694142913022,9.65556371314037,0.939882211016514,0,3.83963902876034,1.82695419037163,0
"rnd-1_family-146#LINE/RTE-BovB",1129.26135935675,692.494505840896,1404.02690918153,815.728400497322,482.627686843636,740.589861276222,889.033565601786,726.720936976474
"rnd-1_family-147#LTR/Gypsy",999.308603144117,845.240747258838,939.128984198682,1480.63250548098,1625.21484229081,881.877759336714,1456.07961297993,592.900648923732
"rnd-1_family-148#LINE/RTE-BovB",37.2117699848296,75.5302784766789,54.4524874261531,103.857285466959,67.8501653973462,121.580611504354,106.287548712533,93.1662962869038
"rnd-1_family-149#Unknown",19.8142027598836,31.7509452853971,5.8942247409198,23.7536135342027,0,0,19.2971725063395,0
"rnd-1_family-14#LTR/Pao",121.668470081662,86.5781873359619,87.9124207819904,33.0908449681285,77.9015343355029,52.020401863356,32.7989256592616,76.1235741193717
"rnd-1_family-150#LINE/RTE-BovB",964.029094153635,791.381417981004,1051.9186519122,914.988998077325,510.255595507611,1056.39584574393,819.429461873964,948.384883757769
"rnd-1_family-151#Unknown",431.134542827047,410.242034495884,364.182579990756,446.495093570528,502.61504805681,686.736699114903,333.328109849775,2289.24390319035
"rnd-1_family-152#LINE/CR1",0,3.6427701119803,0,16.1431630138418,6.19346112192512,0.99179411995122,13.0744046288903,3.67734801116595
"rnd-1_family-153#Unknown",518.969074547292,585.940828382073,529.846508442076,459.069368262982,504.196412934346,390.561754436088,435.269076699402,454.041812185843
"rnd-1_family-154#LTR/Gypsy",49.6345981049118,44.8524799203686,40.0904856506471,74.8003820492722,50.2830765613739,41.4004608714515,76.3001823137826,29.5238181522381
"rnd-1_family-155#Unknown",1339.39161450631,27.6438043963485,1756.917868287,734.880268785253,0,106.802555564287,768.427677407807,183.108926602912
"rnd-1_family-156#Unknown",1097.7574188236,1147.40671132075,966.697778080855,759.496921246815,909.745241714091,647.321739088431,783.894328259876,2607.4626042491
"rnd-1_family-157#LINE/RTE-BovB",5809.68829371592,3832.50040624563,7181.36566142134,7446.34878614767,3394.92250189467,4856.40175542154,7145.26673952116,4557.16033582771
"rnd-1_family-158#Unknown",533.491780535582,382.425873271386,659.762626243401,385.345119197691,453.242021601324,274.482585801471,355.959306864082,280.706186976183
"rnd-1_family-159#Unknown",910.338127019723,5405.55452568212,809.341801794079,4145.77483445291,5323.96732412694,1444.17725053743,4234.64898889797,2112.19850072938
"rnd-1_family-15#Unknown",1218.56734604998,1150.75154813111,1254.57450596388,1163.90965874635,1829.45773249894,809.791040847252,1094.71432431446,995.28637159586
"rnd-1_family-160#Unknown",86.9677846748324,125.986782504486,158.615292540436,70.8892838079112,593.984305168684,117.949104701546,80.4972759151754,220.596110891729
"rnd-1_family-161#LINE/CR1",222.690847234945,118.551329230336,188.254859541928,91.2018606685342,156.167656941714,117.137383643666,70.2521010693334,112.340121385794
"rnd-1_family-162#Unknown",996.353339438567,355.562270637977,965.821700170762,589.086832245973,404.468862017016,234.066711630947,596.987713246058,408.06824895474
"rnd-1_family-163#LINE/Penelope",81.86284122686,69.382265696255,91.7297943319922,72.7880800897712,114.094291723678,69.659418094925,65.5740536093821,153.588022961715
"rnd-1_family-164#LINE/RTE-BovB",123.18188973282,169.729093111653,144.575292175037,248.889637419891,120.467455001599,230.986813527762,247.029764181736,207.13547116181
"rnd-1_family-165#LINE/CR1",92.0934362089423,120.899579624034,118.650646623089,192.996148119126,77.5660461140585,113.258987890819,185.494183925463,116.799691821913
"rnd-1_family-166#LINE/RTE-BovB",18.6594784661077,18.7911457931008,22.0394805272042,22.0229990488452,14.6517189517417,27.5036840974725,24.3453717457851,18.3740440914537
"rnd-1_family-167#LINE/CR1",0.989103471476271,13.3306519115384,4.86448858078071,14.6720342350366,17.5588189129051,12.0464799791213,9.97725916664085,10.6011920910799
"rnd-1_family-168#LINE/Penelope",46.6066040551377,50.4142149289159,63.4857151547274,85.8838960028987,62.5732444920836,48.1884351326352,82.204239709824,74.3154091302397
"rnd-1_family-169#Unknown",500.950661772885,417.042783633813,643.268597985624,317.455491186478,335.470400664007,471.438554920179,304.01840002615,600.753183971554
"rnd-1_family-16#Unknown",654.619765531848,454.790799167261,476.700279887074,863.791920081521,417.015970028933,362.202275715724,842.940324353548,304.184519947301
"rnd-1_family-170#LINE/CR1",576.305465796702,137.543914027964,800.261428362224,420.08969077914,153.600588743,226.595343027218,403.209573703193,128.2341646137
"rnd-1_family-171#Unknown",352.659793262703,0.00345329813837326,749.449423780322,0.00190494869074127,3187.59633074534,176.000577252247,0.0194749601391943,0.0617693273871773
"rnd-1_family-172#LINE/RTE-BovB",667.57236576448,425.765556919839,989.210066534516,1244.83438186841,505.692015910123,1183.47102821161,1201.75768593147,1138.83812130363
"rnd-1_family-173#LINE/RTE-BovB",796.29661806434,1136.31453098073,1228.90869120021,1645.28545881322,1035.65516379075,1622.1040691022,1650.17536561607,1135.02740129758
"rnd-1_family-174#LINE/RTE-BovB",2.52591448809632,7.12908066835335,11.9076070315978,7.49126831483158,4.80108266153514,27.0086084312378,8.69334181034018,10.5711170756892
"rnd-1_family-175#Unknown",7704.05334294957,9010.56700986491,10057.3660609376,9211.86422796176,35843.8120276162,7146.88597581157,9029.97800737028,6657.55887577829
"rnd-1_family-176#DNA/MULE-MuDR",15.5059933103354,7.4141157359254,16.8167560714524,24.4065790753975,10.5323295102863,11.4831877978647,22.5047845006582,5.73773173216304
"rnd-1_family-177#LTR/Gypsy",215.62258033259,584.549806385585,196.661376334375,505.014649699863,363.550489030978,370.121268597427,500.592002436506,240.753202042026
"rnd-1_family-178#LINE/CR1",52.2347688621127,76.3894486385546,105.931261392215,130.849913543098,39.6635379602878,75.1242822486133,124.886478818104,59.853967570947
"rnd-1_family-179#Unknown",6346.12895379312,9298.82548574673,7034.36292234692,6216.69700987729,8087.9414906646,4402.91020302066,6653.22011589,5909.73353067787
