"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"rnd-4_family-959#Unknown",70.3668540766793,0.300019580317673,0.480471660250536,1.80149365847211,0.614609952895936,0.703969979859673
"rnd-1_family-287#Unknown",865.777188342203,-0.188420718963274,0.407870568859002,1.79254905125683,0.616557686588475,0.705604447067047
"rnd-1_family-135#LINE/RTE-BovB",1723.46982669971,0.150769071670244,0.303426125857483,1.78423803972558,0.618370907164863,0.707082345323535
"rnd-5_family-585#LTR/Gypsy",206.29134157381,-0.314890168350623,0.347987083112464,1.780090555008,0.619277008219058,0.707521371110306
"rnd-1_family-553#Unknown",7.29653539009651,-0.889585306710879,1.26781060965854,1.77631608773618,0.620102332200983,0.707867447457735
"rnd-4_family-1310#Unknown",56.6015203633083,0.336539414898971,0.527960451596608,1.75311665120545,0.625190021279094,0.712733733734091
"rnd-1_family-547#LINE/Penelope",3.04223312950092,1.88117758740317,1.85011756332401,1.75208309453198,0.62541727631722,0.712733733734091
"rnd-1_family-646#Unknown",1.21287750338399,-0.79864766358266,3.06456057807,1.74548185657016,0.626869922904865,NA
"rnd-1_family-349#LINE/CR1",310.131935967865,0.0816270985658961,0.279457350701784,1.74251874336755,0.627522642596247,0.714532084636904
"rnd-6_family-15#LINE",313.395414795795,-0.199132030928053,0.338438839716147,1.7386129854485,0.628383639343179,0.714911697153659
"rnd-1_family-326#Unknown",3.52711816315135,2.05093567066768,1.83575353959341,1.72871015267729,0.630569848101488,0.716797100820064
"rnd-1_family-627#Unknown",2.41735138940047,-1.42489135318697,1.96490146540639,1.72256975887527,0.631927734208009,0.717442070090044
"rnd-1_family-87#Unknown",245.456536331994,-0.020195079426309,0.52361944066661,1.72135675143173,0.632196185747241,0.717442070090044
"rnd-5_family-195#LTR/Pao",4790.29496487733,0.339388608324523,1.01947176645745,1.71553254485249,0.633486094587576,0.718304316457043
"rnd-1_family-120#Unknown",1443.18676040408,0.17976798826136,0.280288963231671,1.70891367613117,0.63495390304327,0.719366671089992
"rnd-1_family-845#LTR/Gypsy",1.20196155555362,-3.66422817685744,3.2723881497783,1.70104730382048,0.636700981128637,NA
"rnd-1_family-20#LINE/RTE-BovB",9096.36671933212,0.070054761993086,0.242581238427847,1.68077047574974,0.641217387356506,0.725855939739403
"rnd-5_family-518#Unknown",2.86371621678888,1.28011332341247,1.99087938528151,1.67542513166411,0.642411100533582,0.726543922815231
"rnd-4_family-623#DNA/TcMar-Tc1",59.1240694438133,0.328487525719642,0.431717714183862,1.6732485607523,0.642897537605507,0.726543922815231
"rnd-1_family-765#Unknown",0.925030355889051,-3.69067729147776,3.84685438560233,1.67158557136034,0.643269339057515,NA
"rnd-1_family-248#Unknown",1.38180487671453,3.11510555000501,2.73946897150006,1.66568859561526,0.644588750743369,NA
"rnd-5_family-1195#Unknown",1605.17428056389,0.283837691132702,0.353015400016078,1.66492767008398,0.64475911655856,0.728040502447374
"rnd-1_family-825#Unknown",0.894988794394108,2.59373989214702,4.41715542578469,1.66282751747549,0.645229460080251,NA
"rnd-1_family-524#LINE/CR1",30.0184285689641,-0.23674353504183,0.663317550904884,1.65303251864463,0.647425713117848,0.730442832035541
"rnd-6_family-675#Unknown",1.11393286849742,-3.8570547295876,3.66805946291426,1.64882682726367,0.648370028106709,NA
"rnd-1_family-688#LINE/L2",8.76399566511171,0.897395555475343,1.21672189561033,1.64567684478666,0.649077814136502,0.731697535902629
"rnd-1_family-606#Unknown",0.493191946932496,-0.832411548901875,4.99742379390423,1.64506096362266,0.649216250859865,NA
"rnd-3_family-369#LINE/CR1",0.493191946932496,-0.832411548901875,4.99742379390423,1.64506096362266,0.649216250859865,NA
"rnd-4_family-157#Unknown",0.493191946932496,-0.832411548901875,4.99742379390423,1.64506096362266,0.649216250859865,NA
"rnd-4_family-882#LTR/Pao",0.493191946932496,-0.832411548901875,4.99742379390423,1.64506096362266,0.649216250859865,NA
"rnd-5_family-381#Unknown",0.493191946932496,-0.832411548901875,4.99742379390423,1.64506096362266,0.649216250859865,NA
"rnd-5_family-1113#Unknown",0.493191946932496,-0.832411548901875,4.99742379390423,1.64506096362266,0.649216250859865,NA
"rnd-5_family-28#LTR/Gypsy",0.493191946932496,-0.832411548901875,4.99742379390423,1.64506096362266,0.649216250859865,NA
"rnd-6_family-549#LINE/CR1",0.493191946932496,-0.832411548901875,4.99742379390423,1.64506096362266,0.649216250859865,NA
"rnd-6_family-67#Unknown",0.493191946932496,-0.832411548901875,4.99742379390423,1.64506096362266,0.649216250859865,NA
"rnd-5_family-435#Unknown",0.816937019137117,-0.832439573329597,4.10598319106951,1.63382704099393,0.651744318607808,NA
"rnd-6_family-945#Unknown",15.5112784467908,-0.843549433582023,0.95669712575827,1.62892496035392,0.652849207706427,0.735337220650215
"rnd-2_family-95#LTR/Pao",135.38375257282,-0.368364953516309,0.365957353680778,1.62374870902664,0.654017028058754,0.736040758321936
"rnd-5_family-66#Unknown",2.18270757568029,0.16444128220295,2.32799392098277,1.61452381023608,0.656101145395608,0.737729643580273
"rnd-1_family-387#DNA/MULE-MuDR",30.2401814896554,-0.576853299382224,0.577079400197394,1.61228894416189,0.656606605282516,0.737729643580273
"rnd-1_family-579#LTR/Gypsy",0.474122073279596,-0.832410903081446,4.99742379390597,1.60806503287124,0.657562513337484,NA
"rnd-1_family-927#Unknown",0.474122073279596,-0.832410903081446,4.99742379390597,1.60806503287124,0.657562513337484,NA
"rnd-4_family-259#Unknown",0.474122073279596,-0.832410903081446,4.99742379390597,1.60806503287124,0.657562513337484,NA
"rnd-4_family-127#Unknown",0.474122073279596,-0.832410903081446,4.99742379390597,1.60806503287124,0.657562513337484,NA
"rnd-1_family-797#Unknown",1.00894492150085,3.3754465520147,3.71974424109535,1.59550153345688,0.660410246493473,NA
"rnd-1_family-137#Unknown",1242.19918563436,0.144375357560093,0.25875993360986,1.59503610313533,0.66051587313077,0.741507048957907
"rnd-1_family-777#Unknown",1.54150203117294,0.843122719118283,2.79233806688298,1.59274845141998,0.661035175290822,NA
