"","PC1"
"rnd-1_family-359#LINE",0.00220799054054731
"rnd-1_family-931#Unknown",0.00220345226207069
"rnd-1_family-514#LINE",0.00219882468939078
"rnd-5_family-429#Unknown",0.00218587562539965
"rnd-5_family-1814#Unknown",0.0021842707321023
"rnd-6_family-360#Unknown",0.0021793293657467
"rnd-1_family-407#LINE/Penelope",0.00217746976317935
"rnd-1_family-374#LINE/CR1",0.00217257696965642
"rnd-1_family-75#LINE/CR1",0.00216299954626819
"rnd-5_family-544#DNA/TcMar-Tc2",0.00216227766333025
"rnd-6_family-209#Unknown",0.00214953647668337
"rnd-5_family-661#LTR/Gypsy",0.00213611453131942
"rnd-1_family-406#LINE/CR1-Zenon",0.00213412175943613
"rnd-1_family-653#LTR/Gypsy",0.00212786540770535
"rnd-1_family-431#LINE/Rex-Babar",0.00211533740395544
"rnd-5_family-1238#DNA/CMC-EnSpm",0.00209217010210235
"rnd-6_family-908#Unknown",0.002075416600788
"rnd-5_family-846#LTR/Gypsy",0.00207263291609935
"rnd-5_family-299#LINE/CR1",0.00207257746427507
"rnd-1_family-651#Unknown",0.00207034830162713
"rnd-1_family-694#DNA/CMC-EnSpm",0.00206865202426572
"rnd-1_family-959#Unknown",0.00206750086651197
"rnd-6_family-233#DNA/TcMar-Tc2",0.0020655735977434
"rnd-1_family-672#Unknown",0.00206366255221955
"rnd-5_family-48#LTR/Pao",0.00205991637331282
"rnd-1_family-48#DNA/CMC-EnSpm",0.00205712883987799
"rnd-1_family-586#Unknown",0.00204081764835167
"rnd-1_family-314#LINE/CR1",0.00203803533303535
"rnd-4_family-997#Unknown",0.00203309849872946
"rnd-5_family-953#LTR/Gypsy",0.00202451479808567
"rnd-6_family-41#Unknown",0.00202064271042917
"rnd-6_family-377#LINE/CR1",0.00201975443093684
"rnd-1_family-853#Unknown",0.00199438440355032
"rnd-4_family-340#Unknown",0.00198696437030312
"rnd-2_family-119#LINE/Penelope",0.00198347286874955
"rnd-1_family-228#LTR/Gypsy",0.00197928640651718
"rnd-5_family-292#Unknown",0.00197647799206315
"rnd-1_family-963#Unknown",0.00197082884125957
"rnd-1_family-813#Unknown",0.00195431644985638
"rnd-5_family-986#LTR/Gypsy",0.00195197305676664
"rnd-1_family-397#LINE/CR1",0.00194673825487827
"rnd-6_family-822#Unknown",0.00194584686359975
"rnd-4_family-133#LTR/Gypsy",0.00193892763468232
"rnd-4_family-406#LINE/CR1",0.00193435312099525
"rnd-5_family-349#DNA/CMC-EnSpm",0.00193327708582157
"rnd-6_family-3053#LTR/Gypsy",0.00193297935885829
"rnd-4_family-86#LINE/CR1",0.00193202823948179
"rnd-6_family-583#DNA/TcMar-Tigger",0.00193114359413597
"rnd-1_family-636#Unknown",0.00192382193929585
"rnd-5_family-2741#Unknown",0.00192026903407602
"rnd-1_family-148#LINE/RTE-BovB",0.00191252048964263
"rnd-1_family-495#Unknown",0.00190760154323459
"rnd-4_family-18#Satellite",0.0019054493944
"rnd-6_family-2368#Unknown",0.00188406851289234
"rnd-5_family-2505#LINE/Penelope",0.00188262834543002
"rnd-1_family-175#Unknown",0.00188222112794794
"rnd-6_family-834#DNA/TcMar-ISRm11",0.00188192660523348
"rnd-1_family-803#LINE/CR1",0.00187714490174461
"rnd-1_family-197#LINE/CR1",0.00187555196396031
"rnd-4_family-379#LTR/Gypsy",0.00187540363157288
"rnd-1_family-89#LINE/CR1",0.00187013925913066
"rnd-1_family-288#LTR/Gypsy",0.00186999684885204
"rnd-1_family-747#LINE/CR1",0.00186827334127638
"rnd-5_family-1362#Unknown",0.00186735628321489
"rnd-1_family-420#Unknown",0.00185653049379743
"rnd-1_family-37#LINE/CR1",0.00185652285686071
"rnd-5_family-291#LTR/Gypsy",0.00184685726446095
"rnd-1_family-758#Unknown",0.00183033838627798
"rnd-1_family-236#LTR/Gypsy",0.00182280775788434
"rnd-1_family-617#LINE/CR1",0.00181803649143346
"rnd-3_family-13#Unknown",0.00180312717427524
"rnd-4_family-489#LINE/CR1",0.00179489354448027
"rnd-1_family-869#LINE/Penelope",0.00179390749479241
"rnd-5_family-1804#Unknown",0.00179014839867534
"rnd-6_family-610#Unknown",0.00178808467714328
"rnd-5_family-1849#buffer",0.0017737793627082
"rnd-1_family-266#Unknown",0.00177031233883212
"rnd-1_family-398#Unknown",0.00175605354634233
"rnd-1_family-798#DNA/CMC-EnSpm",0.00175204898371706
"rnd-5_family-1919#Unknown",0.00175088003393465
"rnd-5_family-2#Unknown",0.00174059640255766
"rnd-1_family-308#DNA/CMC-EnSpm",0.0017371546548794
"rnd-1_family-531#LINE/CR1",0.00173651110945986
"rnd-4_family-1198#Unknown",0.00173324778819131
"rnd-1_family-466#Unknown",0.00173101331293642
"rnd-5_family-673#LTR/Gypsy",0.00172416838153198
"rnd-1_family-208#LTR/Gypsy",0.00172082854334913
"rnd-5_family-1891#Unknown",0.00171526507589943
"rnd-1_family-715#Unknown",0.00171508335623933
"rnd-4_family-358#Satellite",0.00171113817371602
"rnd-1_family-454#Unknown",0.00170973034479529
"rnd-5_family-119#Unknown",0.00170946428155134
"rnd-1_family-863#DNA/CMC-EnSpm",0.00169764335224742
"rnd-1_family-210#LTR/Gypsy",0.00169659640111988
"rnd-4_family-660#LINE/CR1",0.00168232252174062
"rnd-1_family-597#LTR/Gypsy",0.00167538858198525
"rnd-5_family-169#DNA/PIF-Spy",0.00167071539014013
"rnd-1_family-196#LTR/Gypsy",0.00166778838323186
"rnd-1_family-343#LINE/CR1",0.0016630157352081
"rnd-1_family-364#Unknown",0.00165543872361306
"rnd-1_family-69#LINE/CR1",0.00165420379444233
"rnd-1_family-345#LINE/Penelope",0.00164062601725138
"rnd-1_family-400#Simple_repeat",0.0016275178111716
"rnd-6_family-231#LTR/Gypsy",0.00162396833076047
"rnd-1_family-18#LINE/CR1",0.00162153162613946
"rnd-1_family-857#LTR/Gypsy",0.00161115518136745
"rnd-5_family-408#DNA/CMC-EnSpm",0.00160580288250285
"rnd-4_family-880#LINE/CR1",0.00159893181386221
"rnd-1_family-493#Unknown",0.00158660241699495
"rnd-5_family-25#LINE/CR1",0.00157422604889206
"rnd-1_family-746#Unknown",0.00156731061838985
"rnd-1_family-122#Unknown",0.00156642494285144
"rnd-1_family-570#DNA",0.00155844849866692
"rnd-4_family-1159#Unknown",0.00154755815543883
"rnd-1_family-298#Unknown",0.00154074086871865
"rnd-1_family-255#Unknown",0.0015380581061265
"rnd-1_family-439#LTR/Gypsy",0.00153710962046316
"rnd-1_family-65#Unknown",0.00153476288149461
"rnd-1_family-311#LTR/Gypsy",0.0015292162628427
"rnd-4_family-1224#Unknown",0.00152869582447394
"rnd-1_family-114#DNA/CMC-EnSpm",0.00152520753780494
"rnd-1_family-828#LTR/Pao",0.00152287913955779
"rnd-1_family-962#LINE/Penelope",0.00151525474961875
"rnd-5_family-2838#Unknown",0.00151181588925372
"rnd-1_family-393#LINE/CR1",0.00150326279079696
"rnd-4_family-356#LTR/Gypsy",0.00148458919759965
"rnd-6_family-208#LINE/CR1",0.0014814005333728
"rnd-6_family-235#Unknown",0.00148058857601544
"rnd-1_family-816#Unknown",0.0014803518662249
"rnd-1_family-457#LINE/CR1",0.00147333306517115
"rnd-6_family-462#Unknown",0.00147099592816464
"rnd-5_family-140#Unknown",0.00146872991585153
"rnd-6_family-899#Unknown",0.00146643710413403
"rnd-1_family-528#Unknown",0.00146094147509501
"rnd-6_family-607#LTR/Gypsy",0.00145274251979008
"rnd-1_family-945#Unknown",0.00144128382493353
"rnd-1_family-340#RC/Helitron",0.00143636777133583
"rnd-1_family-155#Unknown",0.00143468867694988
"rnd-1_family-50#LINE/CR1",0.00142642356901121
"rnd-1_family-834#LINE/Jockey",0.00141390881512777
"rnd-1_family-802#DNA/CMC-EnSpm",0.00141259700567919
"rnd-1_family-907#Unknown",0.00140510293312577
"rnd-5_family-1025#LTR/Gypsy",0.00139849839969949
"rnd-1_family-367#LTR/Gypsy",0.00139391306098263
"rnd-6_family-1275#Unknown",0.00138122530384372
"rnd-1_family-761#LINE/Penelope",0.00137531195034054
"rnd-1_family-223#LINE/CR1",0.00137277819410396
"rnd-5_family-977#SINE?",0.00137254391306145
"rnd-1_family-8#LINE/CR1",0.00137077230953906
"rnd-1_family-535#LINE/RTE-BovB",0.00135806209817097
"rnd-1_family-93#LINE/CR1",0.00135086493553058
"rnd-5_family-1390#Unknown",0.00134291466797438
"rnd-6_family-168#LINE/CR1",0.00134227544477752
"rnd-1_family-186#Unknown",0.00134157474875573
"rnd-5_family-952#LTR/Gypsy",0.00133706972198806
"rnd-1_family-940#Unknown",0.0013231781630454
"rnd-1_family-52#LINE/L2",0.00132231969922786
"rnd-1_family-394#Unknown",0.00131992882526264
"rnd-6_family-3029#Unknown",0.00131536779994215
"rnd-1_family-38#Unknown",0.00130820276683587
"rnd-4_family-299#LINE",0.00130735158323
"rnd-4_family-11#DNA/CMC-EnSpm",0.00130690231687167
"rnd-5_family-11#LINE/CR1",0.00130446003262341
"rnd-4_family-551#LTR/Gypsy",0.00130335025383583
"rnd-1_family-679#Unknown",0.00130278384470425
"rnd-5_family-4380#Unknown",0.00129698769658789
"rnd-6_family-61#Unknown",0.00128898344722612
"rnd-1_family-382#LINE/Penelope",0.00128334697488013
"rnd-4_family-548#Unknown",0.00127147352231278
"rnd-5_family-297#Unknown",0.00126090701711463
"rnd-4_family-929#LINE/CR1",0.00125595897877107
"rnd-5_family-533#Unknown",0.00125550784467458
"rnd-5_family-387#LINE/CR1",0.00125494540499223
"rnd-1_family-259#LINE/CR1",0.00124352344533096
"rnd-5_family-24#LTR/Gypsy",0.00124325329040462
"rnd-1_family-618#Unknown",0.0012382449101467
"rnd-4_family-45#LTR/Gypsy",0.00123580979455328
"rnd-5_family-195#LTR/Pao",0.00123154081628635
"rnd-1_family-936#Unknown",0.00122672774198203
"rnd-1_family-941#Unknown",0.00121816904038544
"rnd-5_family-455#DNA/CMC-EnSpm",0.00121462294262853
"rnd-1_family-71#LINE/CR1",0.00121300802929195
"rnd-6_family-509#LINE/CR1",0.00118714691753673
"rnd-5_family-324#Unknown",0.00116739351114638
"rnd-5_family-160#LTR/Gypsy",0.00116711795726133
"rnd-1_family-131#Unknown",0.00116620494544637
"rnd-5_family-400#Unknown",0.00116249325583368
"rnd-1_family-739#Unknown",0.00115737797509876
"rnd-1_family-820#LTR/Gypsy",0.00115156149747954
"rnd-6_family-1332#Unknown",0.00114506752880669
"rnd-6_family-2964#LTR/Gypsy",0.00114346031144424
"rnd-5_family-1666#Unknown",0.00114327317824825
"rnd-4_family-64#LINE/Penelope",0.00114058748732414
"rnd-1_family-611#DNA/CMC-EnSpm",0.00113670265324291
"rnd-3_family-509#LTR/Gypsy",0.00113478444209731
"rnd-1_family-909#Unknown",0.00113128632829037
"rnd-1_family-554#LINE/Rex-Babar",0.00111010640358873
"rnd-1_family-151#Unknown",0.00110157933789702
"rnd-5_family-40#LTR/Pao",0.00109321364656829
"rnd-1_family-589#Unknown",0.0010912026787497
"rnd-1_family-316#Unknown",0.00108607858443349
"rnd-4_family-779#Unknown",0.00107111588522323
"rnd-5_family-1702#Unknown",0.00106855377555295
"rnd-1_family-300#Unknown",0.00106593770106115
"rnd-1_family-719#LTR/Gypsy",0.00105589395144656
"rnd-5_family-443#Unknown",0.00101474504994194
"rnd-5_family-102#Unknown",0.00101080626453194
"rnd-1_family-171#Unknown",0.00100976461604248
"rnd-1_family-46#DNA/CMC-EnSpm",0.000997315353762613
"rnd-1_family-789#Unknown",0.000983665272194767
"rnd-1_family-529#Unknown",0.000978237213256185
"rnd-5_family-675#Unknown",0.00097118675418967
"rnd-5_family-175#Unknown",0.000957576853710659
"rnd-1_family-185#Unknown",0.00093725183712362
"rnd-1_family-728#Unknown",0.000924912926753959
"rnd-4_family-596#Unknown",0.000915258665008999
"rnd-1_family-600#DNA/CMC-EnSpm",0.000912450513700545
"rnd-1_family-467#LINE/Penelope",0.000908708765832445
"rnd-1_family-568#Unknown",0.000894152568989951
"rnd-5_family-1920#LINE/CR1",0.000890376259229922
"rnd-1_family-732#Unknown",0.000889858844430045
"rnd-4_family-130#Unknown",0.000883760888861263
"rnd-1_family-296#LINE/Penelope",0.000880095828103267
"rnd-5_family-481#LTR/Gypsy",0.000875438229681796
"rnd-1_family-176#DNA/MULE-MuDR",0.000868589491808397
"rnd-1_family-689#Unknown",0.000856756603997524
"rnd-1_family-745#Unknown",0.000850515528368668
"rnd-1_family-893#Unknown",0.000831804503442391
"rnd-1_family-102#Unknown",0.00082590206720537
"rnd-5_family-453#Unknown",0.00081253660973023
"rnd-6_family-1725#Unknown",0.00081145627371376
"rnd-1_family-709#Unknown",0.000793392712784566
"rnd-1_family-103#LINE/CR1",0.000793141625484044
"rnd-1_family-142#Unknown",0.000777859973562162
"rnd-1_family-377#Unknown",0.000774754577877495
"rnd-1_family-187#LINE/CR1",0.00076265730830368
"rnd-5_family-1084#DNA/CMC-EnSpm",0.000758466356129589
"rnd-1_family-895#Unknown",0.000745304467438525
"rnd-5_family-300#LINE/CR1",0.000738877497755328
"rnd-6_family-1029#Unknown",0.000734623951610598
"rnd-1_family-182#Unknown",0.00071763777190422
"rnd-1_family-522#Unknown",0.000712825068403101
"rnd-5_family-364#DNA/TcMar-Pogo",0.000702274669489699
"rnd-1_family-332#Unknown",0.000686300713823877
"rnd-1_family-341#LINE/CR1",0.000681301473480018
"rnd-5_family-317#Unknown",0.000676728908885287
"rnd-1_family-214#Unknown",0.000670349309982265
"rnd-4_family-239#Unknown",0.000657597455699996
"rnd-4_family-1297#Unknown",0.000653374826778078
"rnd-1_family-233#LINE/CR1",0.000650850764705722
"rnd-1_family-289#Unknown",0.000650045585060105
"rnd-4_family-244#LINE/RTE-BovB",0.000627077428939521
"rnd-1_family-379#Unknown",0.000624854560734899
"rnd-4_family-1285#Unknown",0.000595610431622096
"rnd-5_family-337#Unknown",0.000577477436202218
"rnd-4_family-418#LTR/Gypsy",0.000574062626341248
"rnd-4_family-728#Unknown",0.000570712016369671
"rnd-4_family-76#Unknown",0.000558263947033772
"rnd-5_family-947#Unknown",0.000557442051789184
"rnd-1_family-180#Unknown",0.000547194370284995
"rnd-5_family-895#LINE/L2",0.000546695966644069
"rnd-5_family-336#DNA/TcMar-ISRm11",0.000534765846953245
"rnd-1_family-402#Unknown",0.000503263127375874
"rnd-1_family-118#LINE/Penelope",0.000498342297001581
"rnd-5_family-232#Unknown",0.000485377301502783
"rnd-1_family-573#Unknown",0.000476284128517999
"rnd-5_family-57#LTR/Pao",0.000475644622953376
"rnd-4_family-98#DNA/TcMar-Tc2",0.000463291348115397
"rnd-5_family-1014#Unknown",0.000458078595985143
"rnd-5_family-657#Unknown",0.000452005042703023
"rnd-1_family-321#Unknown",0.000385036435419913
"rnd-1_family-620#Unknown",0.00037849811941538
"rnd-1_family-572#LINE/CR1",0.000360245386634298
"rnd-1_family-784#Unknown",0.000347181617788081
"rnd-1_family-757#Unknown",0.000322701525291086
"rnd-6_family-875#Unknown",0.00032152821587516
"rnd-1_family-101#Unknown",0.000313713202453639
"rnd-1_family-284#Unknown",0.00028132199059091
"rnd-4_family-345#LINE/CR1",0.000280431177332779
"rnd-1_family-891#Unknown",0.00028028976066974
"rnd-4_family-47#LINE/Penelope",0.000275388207761371
"rnd-1_family-384#Unknown",0.000274995718783893
